ats,slug,company,careers_url,total_open_roles,relevant_open_roles,junior_relevant_open_roles,sample_relevant_title
ashby,confluent,confluent,https://jobs.ashbyhq.com/confluent,32,24,1,Distributed Systems Software Engineer - WarpStream 
greenhouse,huntress,huntress,https://boards.greenhouse.io/huntress,38,14,1,Commission Analyst
ashby,ditto,ditto,https://jobs.ashbyhq.com/ditto,17,13,1,"Software Engineer, Public Sector Application"
greenhouse,wikimedia,wikimedia,https://boards.greenhouse.io/wikimedia,16,11,1,"Software Engineer, Wikidata Platform"
greenhouse,alloy,alloy,https://boards.greenhouse.io/alloy,20,11,1,"Applied AI Engineer, Ops"
greenhouse,extend,extend,https://boards.greenhouse.io/extend,20,10,1, Analytics Engineer
greenhouse,carta,carta,https://boards.greenhouse.io/carta,59,10,1,Inbound Compliance Analyst (KYC)
greenhouse,cockroachlabs,cockroachlabs,https://boards.greenhouse.io/cockroachlabs,29,8,1,"Value Engineer, Solutions Engineering"
ashby,langfuse,langfuse,https://jobs.ashbyhq.com/langfuse,8,7,1,Developer Relations Engineer (Events & Community)
greenhouse,buildkite,buildkite,https://boards.greenhouse.io/buildkite,10,7,1,Escalations Engineer - Pipelines
greenhouse,starburst,starburst,https://boards.greenhouse.io/starburst,13,7,1,Application Security Engineer
greenhouse,endorlabs,endorlabs,https://boards.greenhouse.io/endorlabs,26,7,1,Program Analysis Engineer
greenhouse,stackblitz,stackblitz,https://boards.greenhouse.io/stackblitz,9,6,1,Customer Experience Engineer
greenhouse,contentful,contentful,https://boards.greenhouse.io/contentful,27,6,1,Analytical Engineer f/m/d
ashby,julius,julius,https://jobs.ashbyhq.com/julius,4,3,1,Software Engineer - Product (New Grad)
lever,zerotier,zerotier,https://jobs.lever.co/zerotier,6,3,1,Marketing Engineer
greenhouse,speechmatics,speechmatics,https://boards.greenhouse.io/speechmatics,12,3,1,Forward Deployed Engineer
greenhouse,chanzuckerberginitiative,chanzuckerberginitiative,https://boards.greenhouse.io/chanzuckerberginitiative,13,3,1,"Business Systems Analyst, Payroll Systems"
ashby,weaviate,weaviate,https://jobs.ashbyhq.com/weaviate,2,2,1,Developer Advocate Intern
ashby,deepnote,deepnote,https://jobs.ashbyhq.com/deepnote,4,2,1,Sales Engineer / GTM
ashby,materialize,materialize,https://jobs.ashbyhq.com/materialize,5,2,1,Field Engineer 
lever,porter,porter,https://jobs.lever.co/porter,27,2,1,Billing & Claims Analyst
ashby,hightouch,hightouch,https://jobs.ashbyhq.com/hightouch,1,1,1,"Backend Engineer, Platform"
ashby,inngest,inngest,https://jobs.ashbyhq.com/inngest,1,1,1,Distributed Systems Engineer - Platform
ashby,tldraw,tldraw,https://jobs.ashbyhq.com/tldraw,1,1,1,Product Engineer
ashby,svix,svix,https://jobs.ashbyhq.com/svix,3,1,1,Rust Backend Engineer
ashby,novel,novel,https://jobs.ashbyhq.com/novel,5,1,1,Engineer
lever,alloy,alloy,https://jobs.lever.co/alloy,9,1,1,"Software Developer, Full Stack"
lever,didomi,didomi,https://jobs.lever.co/didomi,13,1,1,Information Security Analyst
ashby,llamaindex,llamaindex,https://jobs.ashbyhq.com/llamaindex,15,1,1,AI Content Engineer
lever,secureframe,secureframe,https://jobs.lever.co/secureframe,15,1,1,Sales Solutions Engineer
greenhouse,givewell,givewell,https://boards.greenhouse.io/givewell,19,1,1,Research Analyst 
greenhouse,mozilla,mozilla,https://boards.greenhouse.io/mozilla,85,58,0,"Engineering Manager, Ads"
ashby,temporal,temporal,https://jobs.ashbyhq.com/temporal,56,28,0,Senior Developer Success Engineer - West
greenhouse,6sense,6sense,https://boards.greenhouse.io/6sense,35,18,0,"Manager, Campaign Operations"
greenhouse,webflow,webflow,https://boards.greenhouse.io/webflow,28,14,0,Lead Solutions Engineer - West
ashby,semgrep,semgrep,https://jobs.ashbyhq.com/semgrep,18,10,0,Senior Backend Software Engineer
ashby,sanity,sanity,https://jobs.ashbyhq.com/sanity,25,10,0,"Senior Software Engineer, AI Growth"
lever,sysdig,sysdig,https://jobs.lever.co/sysdig,9,9,0,Director of Security Engineering
lever,angellist,angellist,https://jobs.lever.co/angellist,21,9,0,Engineering Manager
ashby,lancedb,lancedb,https://jobs.ashbyhq.com/lancedb,10,7,0,Senior UX/AX Engineer
greenhouse,stacklok,stacklok,https://boards.greenhouse.io/stacklok,6,6,0,Senior Forward Deployed Engineer - Kubernetes
ashby,mural,mural,https://jobs.ashbyhq.com/mural,9,5,0,"Engineering Manager, Data Modeling"
greenhouse,storyblok,storyblok,https://boards.greenhouse.io/storyblok,11,4,0,AI Operations & Automation Manager - Europe/LaTAM
ashby,pinecone,pinecone,https://jobs.ashbyhq.com/pinecone,6,3,0,"Senior/Staff Software Engineer, Database Team"
ashby,unit,unit,https://jobs.ashbyhq.com/unit,6,3,0,Senior Backend Engineer
ashby,zero,zero,https://jobs.ashbyhq.com/zero,6,3,0,Principal Engineer
greenhouse,lattice,lattice,https://boards.greenhouse.io/lattice,7,3,0,"Engineering Manager, AI"
ashby,synthflow,synthflow,https://jobs.ashbyhq.com/synthflow,7,3,0,Senior Python Software Engineer 
lever,neon,neon,https://jobs.lever.co/neon,15,3,0,Principal Software Engineer
ashby,depot,depot,https://jobs.ashbyhq.com/depot,2,2,0,Staff Software Engineer
ashby,authzed,authzed,https://jobs.ashbyhq.com/authzed,2,2,0,Sr. Developer Advocate (US-Based)
ashby,slate,slate,https://jobs.ashbyhq.com/slate,3,2,0,Senior Software Engineer - Video Platform
ashby,twelve,twelve,https://jobs.ashbyhq.com/twelve,5,2,0,"Supply Chain Manager, Procurement"
greenhouse,orca,orca,https://boards.greenhouse.io/orca,1,1,0,Business Development Manager - Software Sales
greenhouse,codeorg,codeorg,https://boards.greenhouse.io/codeorg,2,1,0,"Manager, CS & AI Curriculum"
ashby,maven,maven,https://jobs.ashbyhq.com/maven,2,1,0,Senior/Staff Software Engineer
